Vector size: 300, with padding: 150
Learning rate: 0.000100
Shape is: 
(800, 32, 450)
Epoch: 0
Loss: 0.63594025
Epoch: 25
Loss: 0.6277811
Epoch: 50
Loss: 0.6194755
Epoch: 75
Loss: 0.6114567
Epoch: 100
Loss: 0.60352695
Epoch: 125
Loss: 0.59522957
Epoch: 150
Loss: 0.5867875
Epoch: 175
Loss: 0.57817596
Epoch: 200
Loss: 0.5690615
Epoch: 225
Loss: 0.559881
Epoch: 250
Loss: 0.5502071
Epoch: 275
Loss: 0.5400725
Epoch: 300
Loss: 0.5293228
Epoch: 325
Loss: 0.5185013
Epoch: 350
Loss: 0.50684655
Epoch: 375
Loss: 0.4948092
Epoch: 400
Loss: 0.48200512
Epoch: 425
Loss: 0.46843028
Epoch: 450
Loss: 0.45428947
Epoch: 475
Loss: 0.43946427
cosine: 0.08137051288800123
Validation loss: 0.4236339
