Vector size: 300, with padding: 150
Learning rate: 0.000100
Shape is: 
(1600, 32, 450)
Epoch: 0
Loss: 1.11273265e+17
Epoch: 25
Loss: 108316140000000.0
Epoch: 50
Loss: 56361440000000.0
Epoch: 75
Loss: 46989543000000.0
Epoch: 100
Loss: 44292580000000.0
Epoch: 125
Loss: 44453670000000.0
Epoch: 150
Loss: 40981650000000.0
Epoch: 175
Loss: 35016608000000.0
Epoch: 200
Loss: 32272502000000.0
Epoch: 225
Loss: 29962812000000.0
Epoch: 250
Loss: 26754358000000.0
Epoch: 275
Loss: 27615585000000.0
Epoch: 300
Loss: 23178252000000.0
Epoch: 325
Loss: 21928251000000.0
Epoch: 350
Loss: 20005486000000.0
Epoch: 375
Loss: 19855437000000.0
Epoch: 400
Loss: 20021208000000.0
Epoch: 425
Loss: 18415390000000.0
Epoch: 450
Loss: 15637219000000.0
Epoch: 475
Loss: 14947708000000.0
cosine: 0.006974900283833962
Validation loss: 211244860.0
