Learning rate: 0.000100
Shape is: 
Data  (800, 32, 50)
Epoch: 0
Loss: 0.0055791647
Epoch: 25
Loss: 0.0054629575
Epoch: 50
Loss: 0.005292686
Epoch: 75
Loss: 0.0050964234
Epoch: 100
Loss: 0.004906426
Epoch: 125
Loss: 0.0047401777
Epoch: 150
Loss: 0.004603077
Epoch: 175
Loss: 0.004489896
Epoch: 200
Loss: 0.004392593
Epoch: 225
Loss: 0.0043041552
Epoch: 250
Loss: 0.004221224
Epoch: 275
Loss: 0.0041430853
Epoch: 300
Loss: 0.00406861
Epoch: 325
Loss: 0.003995293
Epoch: 350
Loss: 0.003921231
Epoch: 375
Loss: 0.0038475818
Epoch: 400
Loss: 0.003777826
Epoch: 425
Loss: 0.0037165189
Epoch: 450
Loss: 0.0036669518
Epoch: 475
Loss: 0.0036276565
cosine: 0.9877764505099096
Validation loss: 0.0037459305
