Vector size: 300, with padding: 150
Learning rate: 0.000100
Shape is: 
(400, 32, 450)
Epoch: 0
Loss: 4.131817e+16
Epoch: 25
Loss: 35262000000000.0
Epoch: 50
Loss: 17763549000000.0
Epoch: 75
Loss: 14934024000000.0
Epoch: 100
Loss: 14646509000000.0
Epoch: 125
Loss: 13034287000000.0
Epoch: 150
Loss: 12855722000000.0
Epoch: 175
Loss: 12308077000000.0
Epoch: 200
Loss: 10383282000000.0
Epoch: 225
Loss: 9788636000000.0
Epoch: 250
Loss: 9861658000000.0
Epoch: 275
Loss: 8420997000000.0
Epoch: 300
Loss: 7705213300000.0
Epoch: 325
Loss: 7959066700000.0
Epoch: 350
Loss: 7220063000000.0
Epoch: 375
Loss: 6814638000000.0
Epoch: 400
Loss: 6367152000000.0
Epoch: 425
Loss: 5623775000000.0
Epoch: 450
Loss: 5659684000000.0
Epoch: 475
Loss: 4944622000000.0
cosine: -0.014741865530926157
Validation loss: 571798500.0
