Vector size: 300, with padding: 150
Learning rate: 0.000100
Shape is: 
(400, 32, 450)
Epoch: 0
Loss: 0.63379836
Epoch: 25
Loss: 0.6277835
Epoch: 50
Loss: 0.6212165
Epoch: 75
Loss: 0.6150582
Epoch: 100
Loss: 0.60923135
Epoch: 125
Loss: 0.60285676
Epoch: 150
Loss: 0.5965773
Epoch: 175
Loss: 0.5901833
Epoch: 200
Loss: 0.5832939
Epoch: 225
Loss: 0.57679045
Epoch: 250
Loss: 0.5698741
Epoch: 275
Loss: 0.56299925
Epoch: 300
Loss: 0.5557376
Epoch: 325
Loss: 0.54828835
Epoch: 350
Loss: 0.5407492
Epoch: 375
Loss: 0.53212935
Epoch: 400
Loss: 0.5238096
Epoch: 425
Loss: 0.5151783
Epoch: 450
Loss: 0.50661993
Epoch: 475
Loss: 0.4970901
cosine: 0.07022067225424977
Validation loss: 0.4871723
