Learning rate: 0.000100
Shape is: 
Data  (1600, 32, 50)
Epoch: 0
Loss: 0.005730322
Epoch: 25
Loss: 0.00561686
Epoch: 50
Loss: 0.0054347175
Epoch: 75
Loss: 0.0052261828
Epoch: 100
Loss: 0.0050347834
Epoch: 125
Loss: 0.0048711644
Epoch: 150
Loss: 0.0047399965
Epoch: 175
Loss: 0.0046395906
Epoch: 200
Loss: 0.0045574824
Epoch: 225
Loss: 0.0044849166
Epoch: 250
Loss: 0.004418311
Epoch: 275
Loss: 0.0043566264
Epoch: 300
Loss: 0.0042990535
Epoch: 325
Loss: 0.0042437958
Epoch: 350
Loss: 0.0041885492
Epoch: 375
Loss: 0.004130994
Epoch: 400
Loss: 0.004069033
Epoch: 425
Loss: 0.0040007876
Epoch: 450
Loss: 0.0039259195
Epoch: 475
Loss: 0.0038491897
cosine: 0.9665263326255066
Validation loss: 0.004056822
