Vector size: 300, with padding: 150
Learning rate: 0.000100
Shape is: 
(1600, 32, 450)
Epoch: 0
Loss: 8.5093796e+17
Epoch: 25
Loss: 1012575450000000.0
Epoch: 50
Loss: 507239300000000.0
Epoch: 75
Loss: 437609100000000.0
Epoch: 100
Loss: 387203600000000.0
Epoch: 125
Loss: 343357400000000.0
Epoch: 150
Loss: 342319430000000.0
Epoch: 175
Loss: 311119100000000.0
Epoch: 200
Loss: 283638900000000.0
Epoch: 225
Loss: 269238100000000.0
Epoch: 250
Loss: 235741810000000.0
Epoch: 275
Loss: 231551020000000.0
Epoch: 300
Loss: 214308700000000.0
Epoch: 325
Loss: 182022860000000.0
Epoch: 350
Loss: 167860780000000.0
Epoch: 375
Loss: 162348270000000.0
Epoch: 400
Loss: 149529920000000.0
Epoch: 425
Loss: 137971706000000.0
Epoch: 450
Loss: 129957130000000.0
Epoch: 475
Loss: 121481875000000.0
cosine: 0.06591600286250643
Validation loss: 32545796.0
